0
0
0
[0.7047619  0.7484127  0.71296296]
[0.70039683 0.70515873 0.74074074]
[0.66507937 0.71011905 0.79814815]
[0.68611111 0.71269841 0.7662037 ]
[0.74047619 0.70257937 0.72592593]
[0.71111111 0.73234127 0.68287037]
[0.69146825 0.74801587 0.72222222]
[0.7609127  0.71349206 0.67592593]
[0.75555556 0.70873016 0.70416667]
[0.70357143 0.75912698 0.71643519]
[0.70297619 0.72103175 0.73842593]
[0.72420635 0.71626984 0.72083333]
[0.70813492 0.73968254 0.72962963]
[0.71468254 0.70634921 0.73611111]
[0.7297619  0.70119048 0.76388889]
[0.73015873 0.68730159 0.69375   ]
[0.71686508 0.70436508 0.73703704]
[0.73253968 0.71111111 0.7037037 ]
[0.75396825 0.7109127  0.70138889]
[0.70496032 0.76666667 0.71759259]
[0.72440476 0.71547619 0.73333333]
[0.73015873 0.7234127  0.7349537 ]
[0.75376984 0.6765873  0.72361111]
[0.71011905 0.74920635 0.70046296]
[0.69880952 0.73313492 0.7125    ]
[0.66746032 0.80119048 0.69884259]
[0.75198413 0.7265873  0.7087963 ]
[0.69980159 0.73809524 0.7162037 ]
[0.72738095 0.73829365 0.72453704]
[0.75674603 0.68293651 0.69074074]
[0.70119048 0.73214286 0.7162037 ]
[0.7172619  0.7202381  0.72268519]
[0.73293651 0.69305556 0.76944444]
[0.67519841 0.76904762 0.71712963]
[0.70277778 0.72321429 0.74953704]
[0.71071429 0.71031746 0.73240741]
[0.74503968 0.71269841 0.69537037]
[0.6984127  0.76666667 0.72407407]
[0.71111111 0.75634921 0.74907407]
[0.70595238 0.73392857 0.75740741]
[0.72460317 0.75039683 0.68796296]
[0.7202381  0.72420635 0.72268519]
[0.76190476 0.72103175 0.68032407]
[0.7327381  0.68134921 0.74166667]
[0.74325397 0.68412698 0.75925926]
[0.7281746  0.67698413 0.73472222]
[0.75277778 0.71547619 0.7125    ]
[0.75436508 0.69404762 0.69398148]
[0.68690476 0.7452381  0.72916667]
[0.73849206 0.70138889 0.71481481]
[0.71746032 0.69960317 0.71296296]
[0.66944444 0.77579365 0.72199074]
[0.70376984 0.72539683 0.73935185]
[0.73333333 0.6765873  0.76851852]
[0.72142857 0.70277778 0.75231481]
[0.76230159 0.70952381 0.72222222]
[0.69047619 0.73253968 0.76064815]
[0.72539683 0.71626984 0.70555556]
[0.74801587 0.70992063 0.73842593]
[0.69047619 0.66626984 0.76018519]
[0.6984127  0.73452381 0.75925926]
[0.71825397 0.7390873  0.70324074]
[0.71904762 0.71349206 0.74884259]
[0.71904762 0.70277778 0.72569444]
[0.71349206 0.68095238 0.73518519]
[0.71031746 0.71190476 0.71851852]
[0.70912698 0.73849206 0.74027778]
[0.73214286 0.72539683 0.68935185]
[0.7047619  0.68293651 0.73703704]
[0.71765873 0.70515873 0.78009259]
[0.69444444 0.74186508 0.67916667]
[0.75       0.71111111 0.69444444]
[0.72142857 0.70515873 0.76388889]
[0.71071429 0.72916667 0.70138889]
[0.725      0.7202381  0.68055556]
[0.74345238 0.65952381 0.72453704]
[0.74007937 0.69126984 0.7025463 ]
[0.75992063 0.67797619 0.73657407]
[0.7452381  0.75198413 0.70509259]
[0.69583333 0.70793651 0.7337963 ]
[0.73214286 0.70416667 0.73240741]
[0.68333333 0.74404762 0.69074074]
[0.75634921 0.71289683 0.67453704]
[0.76626984 0.6702381  0.75578704]
[0.71468254 0.72460317 0.70949074]
[0.68095238 0.70119048 0.73726852]
[0.70555556 0.71428571 0.70694444]
[0.68214286 0.72619048 0.71064815]
[0.74761905 0.68849206 0.77314815]
[0.78571429 0.66785714 0.72685185]
[0.73174603 0.72103175 0.75324074]
[0.675      0.74087302 0.73773148]
[0.75456349 0.72579365 0.70648148]
[0.69603175 0.71964286 0.71296296]
[0.75297619 0.73333333 0.68842593]
[0.67261905 0.71944444 0.75462963]
[0.75079365 0.72579365 0.69583333]
[0.69325397 0.73412698 0.74768519]
[0.725      0.75714286 0.70833333]
[0.72103175 0.6734127  0.74490741]
